hashtag_H   cluster_C_leader(userID)   relative_frequency_H_C  frequency_H_in_C  frequency_H_overall   count_H_in_C   count_tweets_in_C   count_H_entire_dataset    count_tweets_entire_dataset
"LongCovid,ResearchLongCovid"	20052899	3.6747830529	.0017391304	.0004732607	1	575	1	2113
AlboForPM	20559705	1.6332367058	.0139130434	.0085186938	8	575	18	2113
"LNPfail,auspol,Australia"	20559705	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"LNPfail,LNPDisgrace"	20559705	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"Brexit,EU,Ukraine"	20995648	3.6747830529	.0017391304	.0004732607	1	575	1	2113
JohnsonOut11	20995648	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"Rwanda,DeadCat,Partygatefines,GE2024,lbc,wato"	20995648	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"abed,ableg"	21525682	1.8373913323	.0017391304	.0009465215	1	575	2	2113
ableg	21525682	2.7560870513	.0052173913	.0018930430	3	575	4	2113
ableg	21525682	2.7560870513	.0052173913	.0018930430	3	575	4	2113
Ableg	21525682	2.4498550235	.0034782608	.0014197823	2	575	3	2113
Ableg	21525682	2.4498550235	.0034782608	.0014197823	2	575	3	2113
"Ableg,Abpoli"	21525682	1.8373913323	.0017391304	.0009465215	1	575	2	2113
"ableg,fireucp"	21525682	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"ableg,yeg,yyc"	21525682	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"Coutts,Alberta,abpoli,ableg"	21525682	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"FireTheUCP,AbLeg,abpoli"	21525682	3.6747830529	.0017391304	.0004732607	1	575	1	2113
ResignKenney	21525682	3.6747830529	.0017391304	.0004732607	1	575	1	2113
BanCongressionalStock	22187085	3.6747830529	.0017391304	.0004732607	1	575	1	2113
BoycottWalgreens	22187085	3.6747826647	.0034782608	.0009465215	2	575	2	2113
FreshVoicesRise	22187085	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"Ukraine,IStandWithUkriane,TheView"	22187085	3.6747830529	.0017391304	.0004732607	1	575	1	2113
JohnsonOut14	26217297	3.6747830529	.0017391304	.0004732607	1	575	1	2113
JohnsonOut19	26217297	1.8373913323	.0017391304	.0009465215	1	575	2	2113
JohnsonOut20	26217297	1.8373913323	.0017391304	.0009465215	1	575	2	2113
"JohnsonOut22,ProtectNHS"	26217297	3.6747830529	.0017391304	.0004732607	1	575	1	2113
JohnsonOut_23	26217297	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"JohnsonOut_23,JohnsonOut_23,JohnsonOut_23"	26217297	3.6747830529	.0017391304	.0004732607	1	575	1	2113
JohnsonOut26	26217297	3.6747826647	.0034782608	.0009465215	2	575	2	2113
"JohnsonOutDay25,JohnsonOutDay_25,JohnsonOut25,JohnsonOutDay25,JohnsonOutDay_25,JohnsonOut25"	26217297	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"JohnsonOutDay25,JohnsonOutDay25,JohnsonOutDay25,JohnsonOutDay25,JohnsonOutDay25,JohnsonOutDay25"	26217297	3.6747830529	.0017391304	.0004732607	1	575	1	2113
DeutscheBank	27493883	3.6747830529	.0017391304	.0004732607	1	575	1	2113
ImpeachmentOne	27493883	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"ThankYouJoe,ThankYouJoe,ThankYouJoe"	27493883	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"BorisJohnson,downingstreetparties"	29447428	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"BoycottFaroeIslands,StopTheGrind"	29447428	3.6747830529	.0017391304	.0004732607	1	575	1	2113
"Bruxelles,BRU2301,BRU2301,Polizeigewalt"	29447428	3.6747830529	.0017391304	.0004732607	1	575	1	2113
Chelsea	29447428	3.6747830529	.0017391304	.0004732607	1	575	1	2113
